series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T15:00:00Z,2339.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.29,0.3,0.7,0.71,0.3,0.2791,0.01,1.0,44.88,44.88,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T16:00:00Z,2279.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.3,0.31,0.69,0.7,0.31,0.2837,0.22,0.31,64.69,104.57,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T17:00:00Z,2219.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.28,0.29,0.71,0.72,,,0.25,0.31,0.0,104.57,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T18:00:00Z,2159.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.29,0.31,0.69,0.71,0.29,0.2983,0.28,0.33,61.79,133.88,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T19:00:00Z,2099.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.3,0.31,0.69,0.7,0.32,0.3162,0.28,0.33,212.72,329.08,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T20:00:00Z,2039.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.33,0.34,0.66,0.67,0.33,0.3197,0.28,0.35,33.94,358.02,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T21:00:00Z,1979.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.35,0.36,0.64,0.65,0.35,0.3737,0.28,0.41,160.41,513.33,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T22:00:00Z,1919.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.33,0.34,0.66,0.67,0.35,0.35,0.33,0.36,2.0,513.33,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-24T23:00:00Z,1859.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.35,0.36,0.64,0.65,0.37,0.3643,0.33,0.38,92.87,605.2,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T00:00:00Z,1799.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.4,0.42,0.58,0.6,0.45,0.3617,0.31,0.45,509.3,858.56,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T01:00:00Z,1739.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.35,0.36,0.64,0.65,0.4,0.4119,0.35,0.42,62.47,906.03,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T02:00:00Z,1679.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.32,0.34,0.66,0.68,0.34,0.338,0.31,0.36,327.79,1169.82,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T03:00:00Z,1619.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.23,0.28,0.72,0.77,0.23,0.3036,0.15,0.45,2210.29,1577.11,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T04:00:00Z,1559.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.2,0.21,0.79,0.8,0.2,0.2214,0.2,0.28,141.79,1592.2,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T05:00:00Z,1499.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.16,0.17,0.83,0.84,0.15,0.177,0.15,0.21,14.14,1602.5,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T06:00:00Z,1439.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.16,0.18,0.82,0.84,0.18,0.1769,0.15,0.19,24.4,1622.46,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T07:00:00Z,1379.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.15,0.21,0.79,0.85,0.17,0.1762,0.15,0.22,181.53,1733.46,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T08:00:00Z,1319.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.15,0.24,0.76,0.85,,,0.15,0.24,0.0,1733.46,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T10:00:00Z,1199.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.18,0.23,0.77,0.82,0.22,0.211,0.15,0.24,163.34,1889.8,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T11:00:00Z,1139.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.32,0.33,0.67,0.68,0.33,0.2713,0.17,0.35,684.96,2178.01,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T12:00:00Z,1079.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.3,0.31,0.69,0.7,0.31,0.3563,0.3,0.41,307.96,2445.63,true,no,80.0,80.0,false,false,true,true
KXHIGHCHI,CHI,KMDW,2026-06-25,KXHIGHCHI-26JUN25,KXHIGHCHI-26JUN25-B77.5,2026-06-25T13:00:00Z,1019.0,2026-06-26T05:59:00Z,between,77.0,78.0,77° to 78°,0.28,0.31,0.69,0.72,0.32,0.2978,0.27,0.35,679.08,2948.31,true,no,80.0,80.0,false,false,true,true
