series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T15:00:00Z,2459.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.01,0.02,0.98,0.99,0.02,0.0241,0.01,1.0,258.0,258.0,true,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T16:00:00Z,2399.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.02,1320.0,1578.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T17:00:00Z,2339.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,114.0,1692.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T19:00:00Z,2219.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,,,0.0,0.01,0.0,1692.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T20:00:00Z,2159.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,,,0.0,0.01,0.0,1692.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T21:00:00Z,2099.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,467.0,2055.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T22:00:00Z,2039.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,5000.0,7055.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-15T23:00:00Z,1979.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.02,325.0,7289.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-16T00:00:00Z,1919.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.0,0.01,0.99,1.0,0.01,0.01,0.0,0.01,10.0,7295.0,false,no,70.0,70.0,false,false,true,true
KXHIGHLAX,LAX,KLAX,2026-06-16,KXHIGHLAX-26JUN16,KXHIGHLAX-26JUN16-B67.5,2026-06-16T01:00:00Z,1859.0,2026-06-17T07:59:00Z,between,67.0,68.0,67° to 68°,0.01,0.02,0.98,0.99,0.01,0.01,0.0,0.02,183.0,7478.0,true,no,70.0,70.0,false,false,true,true
