series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T15:00:00Z,2279.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.07,0.08,0.92,0.93,0.07,0.0849,0.01,1.0,76.12,76.12,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T16:00:00Z,2219.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.06,0.08,0.92,0.94,0.07,0.0799,0.06,0.08,197.0,273.12,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T17:00:00Z,2159.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.05,0.06,0.94,0.95,0.04,0.0469,0.03,0.08,607.15,760.12,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T18:00:00Z,2099.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.05,0.06,0.94,0.95,0.05,0.0498,0.04,0.06,174.4,922.49,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T19:00:00Z,2039.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.05,0.06,0.94,0.95,0.05,0.05,0.04,0.06,5.0,927.49,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T20:00:00Z,1979.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.05,0.06,0.94,0.95,,,0.05,0.06,0.0,927.49,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T21:00:00Z,1919.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.05,0.06,0.94,0.95,,,0.05,0.06,0.0,927.49,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T22:00:00Z,1859.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.05,0.06,0.94,0.95,,,0.05,0.06,0.0,927.49,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-23T23:00:00Z,1799.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.04,0.05,0.95,0.96,0.03,0.035,0.03,0.06,50.0,947.49,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-24T00:00:00Z,1739.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.04,0.05,0.95,0.96,0.05,0.0425,0.02,0.06,490.56,1216.98,true,no,89.0,89.0,false,false,true,true
KXHIGHMIA,MIA,KMIA,2026-05-24,KXHIGHMIA-26MAY24,KXHIGHMIA-26MAY24-B85.5,2026-05-24T01:00:00Z,1679.0,2026-05-25T04:59:00Z,between,85.0,86.0,85° to 86°,0.03,0.04,0.96,0.97,0.04,0.0341,0.03,0.05,242.84,1415.99,true,no,89.0,89.0,false,false,true,true
