series,city,station,target_date,event_ticker,market_ticker,ts_utc,minutes_to_close,close_time_utc,strike_type,floor_strike,cap_strike,yes_sub_title,yes_bid,yes_ask,no_bid,no_ask,last,price_mean,yes_bid_low,yes_ask_high,volume,open_interest,has_quote,result,expiration_value,cli_high,recomputed_yes_expval,recomputed_yes_cli,payoff_matches_kalshi,truth_agrees
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T15:00:00Z,2279.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.14,0.18,0.82,0.86,0.19,0.2138,0.01,1.0,111.01,111.01,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T16:00:00Z,2219.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.13,0.14,0.86,0.87,0.15,0.148,0.13,0.21,5.0,116.01,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T17:00:00Z,2159.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.12,0.14,0.86,0.88,0.11,0.1145,0.1,0.17,299.43,396.44,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T18:00:00Z,2099.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.11,0.14,0.86,0.89,0.11,0.1194,0.1,0.21,16.0,385.44,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T19:00:00Z,2039.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.12,0.13,0.87,0.88,0.12,0.1151,0.1,0.14,51.0,419.93,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T20:00:00Z,1979.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.1,0.11,0.89,0.9,0.12,0.0933,0.05,0.14,339.86,682.94,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T21:00:00Z,1919.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.09,0.1,0.9,0.91,0.1,0.1189,0.07,0.19,602.35,1068.76,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T22:00:00Z,1859.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.09,0.1,0.9,0.91,0.1,0.0953,0.06,0.12,37.75,1078.16,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-05T23:00:00Z,1799.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.12,0.13,0.87,0.88,0.12,0.1145,0.08,0.14,733.87,1702.82,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T00:00:00Z,1739.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.13,0.14,0.86,0.87,0.14,0.1297,0.11,0.15,111.05,1804.87,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T01:00:00Z,1679.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.14,0.15,0.85,0.86,0.15,0.1439,0.13,0.15,118.48,1902.35,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T02:00:00Z,1619.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.1,0.11,0.89,0.9,0.11,0.1106,0.09,0.15,285.64,2140.07,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T03:00:00Z,1559.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.11,0.12,0.88,0.89,0.12,0.1108,0.1,0.14,381.41,2373.09,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T04:00:00Z,1499.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.12,0.13,0.87,0.88,0.15,0.1192,0.11,0.15,433.35,2774.37,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T05:00:00Z,1439.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.1,0.11,0.89,0.9,0.11,0.1161,0.09,0.14,779.98,3222.82,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T06:00:00Z,1379.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.12,0.13,0.87,0.88,0.13,0.1199,0.07,0.14,1215.85,4093.75,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T07:00:00Z,1319.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.13,0.14,0.86,0.87,0.14,0.1321,0.11,0.15,345.06,4288.43,true,no,69.0,69.0,false,false,true,true
KXHIGHNY,NY,KNYC,2026-07-06,KXHIGHNY-26JUL06,KXHIGHNY-26JUL06-B75.5,2026-07-06T08:00:00Z,1259.0,2026-07-07T04:59:00Z,between,75.0,76.0,75° to 76°,0.13,0.14,0.86,0.87,0.15,0.1442,0.11,0.15,355.54,4619.67,true,no,69.0,69.0,false,false,true,true
