station,date,high,low,high_time,source,source_url,product,fetched_at
KMDW,2025-12-26,49,40,1136 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2025,202512270634-KLOT-CDUS43-CLIMDW,2026-09-02T21:26:12Z
KMDW,2025-12-27,45,38,1159 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2025,202512280634-KLOT-CDUS43-CLIMDW,2026-09-02T21:26:12Z
KMDW,2025-12-28,59,22,446 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2025,202512290636-KLOT-CDUS43-CLIMDW,2026-07-25T16:35:18Z
KMDW,2025-12-29,24,14,302 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2025,202512300633-KLOT-CDUS43-CLIMDW,2026-07-25T16:35:18Z
KMDW,2025-12-30,25,10,1159 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2025,202512310636-KLOT-CDUS43-CLIMDW,2026-07-25T16:35:18Z
KMDW,2025-12-31,35,19,633 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2025,202601010635-KLOT-CDUS43-CLIMDW,2026-07-25T16:35:18Z
KMDW,2026-01-01,21,12,1159 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601020646-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-02,24,20,430 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601030635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-03,28,21,527 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601040634-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-04,34,25,1159 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601051718-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-05,45,32,436 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601060631-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-06,47,37,1239 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601070639-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-07,44,34,854 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601080642-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-08,61,40,1131 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601090633-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-09,60,41,234 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601100649-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-10,41,26,1220 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601110636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-11,34,22,1254 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601120633-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-12,42,27,339 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601130632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-13,50,34,233 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601140632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-14,42,19,150 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601150639-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-15,24,15,422 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601160639-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-16,37,22,410 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601170636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-17,26,13,1219 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601180659-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-18,19,8,1159 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601191259-KLOT-CDUS43-CLIMDW-CCA,2026-07-25T16:33:41Z
KMDW,2026-01-19,19,0,112 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601200636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-20,24,3,845 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601210634-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-21,33,24,953 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601220635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-22,28,8,1207 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601230634-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-23,8,-9,1208 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601240644-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-24,9,-7,1148 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601250632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-25,19,7,1221 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601260645-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-26,9,0,1159 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601270644-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-27,14,6,356 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601280637-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-28,18,1,354 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601290637-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-29,17,2,454 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601300636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-30,21,5,259 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202601310632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-01-31,27,12,257 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602010641-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-01,27,11,427 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602020638-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-02,28,21,229 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602030638-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-03,30,18,217 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602040640-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-04,27,18,335 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602050637-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-05,30,16,315 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602060638-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-06,38,22,419 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602070646-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-07,25,13,313 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602080634-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-08,30,20,311 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602090632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-09,38,22,737 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602100635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-10,49,32,250 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602110635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-11,43,26,331 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602120638-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-12,39,27,327 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602130643-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-13,54,26,356 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602140633-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-14,49,31,415 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602150636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-15,60,31,353 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602160632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-16,65,35,431 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602170632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-17,57,42,336 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602180634-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-18,64,45,136 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602190633-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-19,58,39,1213 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602200648-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-20,47,27,244 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602210637-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-21,29,24,453 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602220642-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-22,27,20,349 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602230632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-23,29,20,433 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602240636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-24,40,21,911 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602250710-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-25,38,27,203 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602260633-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-26,43,23,407 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602270635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-27,65,30,458 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202602280636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-02-28,47,28,1218 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603010638-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-01,32,26,354 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603020651-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-02,41,25,404 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603030635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-03,43,34,144 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603040643-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-04,42,35,1000 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603050728-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-05,51,40,418 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603060641-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-06,74,43,316 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603070635-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-07,64,38,232 AM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603080634-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-08,63,34,404 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603090636-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
KMDW,2026-03-09,73,47,249 PM,iem_cli,https://mesonet.agron.iastate.edu/json/cli.py?station=KMDW&year=2026,202603100632-KLOT-CDUS43-CLIMDW,2026-07-25T16:33:41Z
