date,campaign,pnl,trades
2026-06-19,A,0.33399999999999996,2
2026-06-20,A,0.30449999999999994,1
2026-06-21,A,-0.16525000000000004,2
2026-06-23,A,-0.666,1
2026-06-24,A,-0.7344999999999999,1
2026-06-26,A,0.42249999999999993,1
2026-06-27,A,0.34875,2
2026-06-28,A,-0.5675,1
2026-06-29,A,0.256,1
2026-06-30,A,0.10299999999999998,1
2026-07-03,B,0.28583333333333333,3
2026-07-04,B,-0.18975000000000006,2
2026-07-05,B,0.19799999999999995,3
2026-07-06,B,0.2415,2
2026-07-07,B,0.17899999999999994,1
2026-07-08,B,0.42249999999999993,1
2026-07-10,B,0.29633333333333334,3
2026-07-11,B,-0.1455,2
2026-07-12,B,-0.5974999999999999,1
2026-07-13,B,-0.26349999999999996,2
2026-07-14,B,-0.03800000000000001,3
2026-07-17,C,0.21749999999999997,1
2026-07-18,C,0.11883333333333329,3
2026-07-19,C,0.04650000000000004,1
2026-07-20,C,0.07449999999999996,1
2026-07-21,C,0.11249999999999999,1
2026-07-22,C,0.16524999999999998,2
2026-07-23,C,0.06974999999999995,2
2026-07-24,C,0.06499999999999995,2
