series,event_ticker,ticker,floor_strike,strike_type,status,result,expiration_value,close_time,expected_expiration_time,settlement_date,end_ts,et_date,et_hour,yes_bid,yes_ask,yes_bid_high,yes_ask_low,last,volume_fp,open_interest_fp
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784088000,2026-07-15,0,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784091600,2026-07-15,1,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784095200,2026-07-15,2,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784116800,2026-07-15,8,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784127600,2026-07-15,11,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784134800,2026-07-15,13,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784138400,2026-07-15,14,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784142000,2026-07-15,15,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784145600,2026-07-15,16,0.9900,,0.9900,,,0.00,1151.56
KXAAAGASM,KXAAAGASM-26JUL31,KXAAAGASM-26JUL31-2.50,2.5000,greater,active,,,2026-07-31T03:59:00Z,2026-07-31T14:00:00Z,2026-07-31,1784149200,2026-07-15,17,0.9900,,0.9900,,,0.00,1151.56
